                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.1164,                0.78372,                 1.2085,                0.69721,                0.64458,                0.68603,                0.35825,                 1.8285,                 1.4025,                 1.7873,             0.00059436,             0.00059436,             0.00059436
                     47,                 1.0999,                0.77065,                 1.2081,                0.67836,                0.67504,                0.69418,                0.35885,                 1.8039,                 1.3497,                 1.7472,             0.00059271,             0.00059271,             0.00059271
                     48,                 1.1158,                0.80144,                 1.2127,                 0.6653,                0.71218,                0.70773,                0.38353,                 1.7618,                 1.2266,                 1.7223,             0.00059106,             0.00059106,             0.00059106
                     49,                 1.0931,                0.80189,                 1.2099,                0.69543,                0.65551,                0.68327,                 0.3582,                 1.7825,                 1.3684,                 1.7627,             0.00058941,             0.00058941,             0.00058941
                     50,                 1.0597,                0.76746,                 1.1869,                 0.6545,                0.64326,                0.66591,                0.35102,                 1.7895,                 1.4019,                 1.7709,             0.00058776,             0.00058776,             0.00058776
                     51,                 1.0884,                 0.7896,                 1.2131,                0.66236,                0.65914,                 0.6831,                0.37036,                 1.7934,                 1.4675,                 1.7765,             0.00058611,             0.00058611,             0.00058611
                     52,                 1.0728,                0.75875,                 1.1947,                0.64983,                0.64064,                0.67142,                0.35801,                 1.8239,                 1.5032,                 1.7686,             0.00058446,             0.00058446,             0.00058446
                     53,                  1.062,                0.74946,                 1.1798,                0.64629,                0.63648,                0.66747,                0.35619,                 1.8056,                 1.4596,                 1.7602,             0.00058281,             0.00058281,             0.00058281
                     54,                 1.0642,                0.75484,                  1.185,                 0.6943,                0.66804,                0.69337,                0.36935,                 1.7723,                  1.374,                  1.774,             0.00058116,             0.00058116,             0.00058116
                     55,                 1.0711,                0.76609,                  1.195,                0.64486,                0.66335,                 0.6597,                0.34665,                 1.7886,                 1.3998,                 1.7739,             0.00057951,             0.00057951,             0.00057951
                     56,                 1.0719,                0.76797,                 1.1938,                0.63566,                0.62327,                0.65026,                0.34418,                 1.8173,                 1.4681,                 1.8098,             0.00057786,             0.00057786,             0.00057786
                     57,                 1.0801,                0.78885,                 1.2012,                0.72368,                 0.5746,                0.64661,                0.34777,                 1.7886,                 1.5278,                  1.758,              0.0005762,              0.0005762,              0.0005762
                     58,                 1.0681,                0.75289,                 1.1876,                0.65038,                0.62699,                0.66544,                0.36683,                  1.809,                 1.6311,                  1.767,             0.00057455,             0.00057455,             0.00057455
                     59,                 1.0627,                0.74733,                 1.1976,                0.67049,                0.65816,                0.67318,                0.35443,                 1.8061,                 1.4465,                 1.7522,              0.0005729,              0.0005729,              0.0005729
                     60,                 1.0506,                0.75521,                 1.1835,                0.66745,                0.65238,                0.68634,                0.36643,                   1.79,                 1.3038,                 1.7552,             0.00057125,             0.00057125,             0.00057125
                     61,                  1.093,                0.78169,                 1.1957,                0.66529,                0.67531,                0.69622,                0.37196,                 1.8255,                 1.2421,                 1.7861,              0.0005696,              0.0005696,              0.0005696
                     62,                 1.0715,                0.75708,                  1.192,                0.63584,                0.67525,                0.68329,                0.37241,                 1.8073,                 1.3415,                   1.76,             0.00056795,             0.00056795,             0.00056795
                     63,                  1.058,                0.75925,                 1.1794,                0.70955,                0.64934,                0.69588,                0.37013,                 1.8144,                 1.4041,                 1.7962,              0.0005663,              0.0005663,              0.0005663
                     64,                 1.0602,                0.75195,                 1.1736,                0.72002,                0.60969,                0.70226,                0.37901,                 1.8074,                 1.4384,                 1.7574,             0.00056465,             0.00056465,             0.00056465
                     65,                 1.0665,                0.74628,                 1.1853,                0.77157,                0.63416,                0.69381,                0.37282,                 1.8042,                 1.3377,                 1.7564,               0.000563,               0.000563,               0.000563
                     66,                 1.0678,                0.74373,                  1.192,                0.68376,                0.65379,                0.65711,                 0.3498,                 1.8006,                 1.3684,                 1.7474,             0.00056135,             0.00056135,             0.00056135
                     67,                 1.0282,                 0.7057,                 1.1691,                 0.6316,                0.66838,                0.65836,                0.36944,                 1.7918,                 1.3661,                 1.7314,              0.0005597,              0.0005597,              0.0005597
