               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.039384,            0.038013,           0.0062092,             0.60944,             0.62445,             0.62248,             0.30441,            0.046531,            0.026773,           0.0099989,            0.008416,            0.008416,            0.008416
                  50,            0.040051,            0.038408,           0.0061815,             0.67091,             0.59323,             0.66806,              0.3249,            0.044865,            0.026575,            0.011595,            0.008383,            0.008383,            0.008383
                  51,            0.038775,            0.037756,           0.0063608,             0.70036,              0.6388,             0.68514,             0.34643,            0.045895,            0.026819,            0.010594,             0.00835,             0.00835,             0.00835
                  52,            0.039161,            0.036102,           0.0069474,             0.61078,             0.65418,             0.65575,              0.3287,            0.045326,            0.026992,            0.016624,            0.008317,            0.008317,            0.008317
                  53,            0.038209,            0.034561,           0.0063858,              0.6234,             0.56724,             0.60064,               0.301,             0.04685,             0.02737,            0.021806,            0.008284,            0.008284,            0.008284
                  54,            0.038809,            0.039731,            0.007936,             0.65112,             0.62093,             0.64937,             0.32447,            0.044426,            0.026222,            0.010741,            0.008251,            0.008251,            0.008251
                  55,            0.038649,            0.035532,           0.0074346,             0.60834,             0.64061,              0.6374,              0.3113,            0.044781,            0.026602,            0.010408,            0.008218,            0.008218,            0.008218
                  56,            0.039274,            0.036978,           0.0070012,             0.64744,              0.6026,             0.63496,             0.29797,            0.045875,            0.026351,            0.012598,            0.008185,            0.008185,            0.008185
                  57,            0.037719,            0.035114,           0.0074825,             0.66734,             0.62287,             0.66898,             0.32872,            0.044952,             0.02653,            0.011688,            0.008152,            0.008152,            0.008152
                  58,            0.038618,            0.036553,           0.0065974,             0.66003,             0.60419,             0.62684,             0.31508,            0.046464,            0.028495,            0.011554,            0.008119,            0.008119,            0.008119
                  59,            0.038853,            0.036635,           0.0065817,             0.64479,             0.58897,             0.62569,             0.31485,            0.045808,            0.027104,            0.014622,            0.008086,            0.008086,            0.008086
                  60,            0.039046,            0.036347,           0.0078767,             0.58959,             0.66362,             0.64204,             0.31734,            0.044153,            0.026072,            0.012374,            0.008053,            0.008053,            0.008053
                  61,             0.03909,            0.037752,           0.0069457,             0.62396,             0.66112,             0.65319,             0.31744,            0.046094,             0.02683,            0.010968,             0.00802,             0.00802,             0.00802
                  62,            0.037711,            0.035639,           0.0070854,              0.6324,             0.59143,             0.63206,             0.30476,            0.046451,            0.027313,            0.019576,            0.007987,            0.007987,            0.007987
                  63,            0.038055,            0.038249,           0.0062334,             0.59867,             0.59387,             0.63254,             0.31158,             0.04601,            0.025662,            0.022445,            0.007954,            0.007954,            0.007954
                  64,            0.038794,            0.037537,           0.0071621,             0.57962,             0.61916,              0.6318,             0.32041,            0.046588,            0.027481,            0.011156,            0.007921,            0.007921,            0.007921
                  65,            0.038935,             0.03749,           0.0057767,             0.63505,             0.61027,             0.62338,             0.30268,            0.046026,            0.027416,            0.016086,            0.007888,            0.007888,            0.007888
                  66,             0.03758,            0.036362,           0.0065362,             0.64437,             0.61915,             0.64512,             0.32264,            0.045224,            0.026885,             0.01756,            0.007855,            0.007855,            0.007855
                  67,            0.039157,            0.035797,            0.007069,             0.65743,              0.6531,             0.65478,             0.32313,            0.045499,            0.027323,            0.016116,            0.007822,            0.007822,            0.007822
                  68,            0.038186,            0.037829,           0.0070723,             0.66206,             0.58715,             0.61519,             0.31318,            0.047293,             0.02717,            0.018963,            0.007789,            0.007789,            0.007789
                  69,            0.038566,            0.037173,           0.0060042,             0.71651,             0.61042,             0.65727,             0.32759,            0.045794,            0.027009,            0.015102,            0.007756,            0.007756,            0.007756
